,date,value_og
510,1959-01-01,
511,1959-02-01,
512,1959-03-01,
513,1959-04-01,
514,1959-05-01,
515,1959-06-01,
516,1959-07-01,
517,1959-08-01,
518,1959-09-01,
519,1959-10-01,
520,1959-11-01,
521,1959-12-01,
522,1960-01-01,
523,1960-02-01,
524,1960-03-01,
525,1960-04-01,
526,1960-05-01,
527,1960-06-01,
528,1960-07-01,
529,1960-08-01,
530,1960-09-01,
531,1960-10-01,
532,1960-11-01,
533,1960-12-01,
534,1961-01-01,
535,1961-02-01,
536,1961-03-01,
537,1961-04-01,
538,1961-05-01,
539,1961-06-01,
540,1961-07-01,
541,1961-08-01,
542,1961-09-01,
543,1961-10-01,
544,1961-11-01,
545,1961-12-01,
546,1962-01-01,
547,1962-02-01,
548,1962-03-01,
549,1962-04-01,
550,1962-05-01,
551,1962-06-01,
552,1962-07-01,
553,1962-08-01,
554,1962-09-01,
555,1962-10-01,
556,1962-11-01,
557,1962-12-01,
558,1963-01-01,
559,1963-02-01,
560,1963-03-01,
561,1963-04-01,
562,1963-05-01,
563,1963-06-01,
564,1963-07-01,
565,1963-08-01,
566,1963-09-01,
567,1963-10-01,
568,1963-11-01,
569,1963-12-01,
570,1964-01-01,
571,1964-02-01,
572,1964-03-01,
573,1964-04-01,
574,1964-05-01,
575,1964-06-01,
576,1964-07-01,
577,1964-08-01,
578,1964-09-01,
579,1964-10-01,
580,1964-11-01,
581,1964-12-01,
582,1965-01-01,
583,1965-02-01,
584,1965-03-01,
585,1965-04-01,
586,1965-05-01,
587,1965-06-01,
588,1965-07-01,
589,1965-08-01,
590,1965-09-01,
591,1965-10-01,
592,1965-11-01,
593,1965-12-01,
594,1966-01-01,
595,1966-02-01,
596,1966-03-01,
597,1966-04-01,
598,1966-05-01,
599,1966-06-01,
600,1966-07-01,
601,1966-08-01,
602,1966-09-01,
603,1966-10-01,
604,1966-11-01,
605,1966-12-01,
606,1967-01-01,
607,1967-02-01,
608,1967-03-01,
609,1967-04-01,
610,1967-05-01,
611,1967-06-01,
612,1967-07-01,
613,1967-08-01,
614,1967-09-01,
615,1967-10-01,
616,1967-11-01,
617,1967-12-01,
618,1968-01-01,
619,1968-02-01,
620,1968-03-01,
621,1968-04-01,
622,1968-05-01,
623,1968-06-01,
624,1968-07-01,
625,1968-08-01,
626,1968-09-01,
627,1968-10-01,
628,1968-11-01,
629,1968-12-01,
630,1969-01-01,
631,1969-02-01,
632,1969-03-01,
633,1969-04-01,
634,1969-05-01,
635,1969-06-01,
636,1969-07-01,
637,1969-08-01,
638,1969-09-01,
639,1969-10-01,
640,1969-11-01,
641,1969-12-01,
642,1970-01-01,
643,1970-02-01,
644,1970-03-01,
645,1970-04-01,
646,1970-05-01,
647,1970-06-01,
648,1970-07-01,
649,1970-08-01,
650,1970-09-01,
651,1970-10-01,
652,1970-11-01,
653,1970-12-01,
654,1971-01-01,
655,1971-02-01,
656,1971-03-01,
657,1971-04-01,
