,date,value_og
270,1959-01-01,
271,1959-02-01,
272,1959-03-01,
273,1959-04-01,
274,1959-05-01,
275,1959-06-01,
276,1959-07-01,
277,1959-08-01,
278,1959-09-01,
279,1959-10-01,
280,1959-11-01,
281,1959-12-01,
282,1960-01-01,
283,1960-02-01,
284,1960-03-01,
285,1960-04-01,
286,1960-05-01,
287,1960-06-01,
288,1960-07-01,
289,1960-08-01,
290,1960-09-01,
291,1960-10-01,
292,1960-11-01,
293,1960-12-01,
294,1961-01-01,
295,1961-02-01,
296,1961-03-01,
297,1961-04-01,
298,1961-05-01,
299,1961-06-01,
300,1961-07-01,
301,1961-08-01,
302,1961-09-01,
303,1961-10-01,
304,1961-11-01,
305,1961-12-01,
306,1962-01-01,
307,1962-02-01,
308,1962-03-01,
309,1962-04-01,
310,1962-05-01,
311,1962-06-01,
312,1962-07-01,
313,1962-08-01,
314,1962-09-01,
315,1962-10-01,
316,1962-11-01,
317,1962-12-01,
318,1963-01-01,
319,1963-02-01,
320,1963-03-01,
321,1963-04-01,
322,1963-05-01,
323,1963-06-01,
324,1963-07-01,
325,1963-08-01,
326,1963-09-01,
327,1963-10-01,
328,1963-11-01,
329,1963-12-01,
330,1964-01-01,
331,1964-02-01,
332,1964-03-01,
333,1964-04-01,
334,1964-05-01,
335,1964-06-01,
336,1964-07-01,
337,1964-08-01,
338,1964-09-01,
339,1964-10-01,
340,1964-11-01,
341,1964-12-01,
342,1965-01-01,
343,1965-02-01,
344,1965-03-01,
345,1965-04-01,
346,1965-05-01,
347,1965-06-01,
348,1965-07-01,
349,1965-08-01,
350,1965-09-01,
351,1965-10-01,
352,1965-11-01,
353,1965-12-01,
354,1966-01-01,
355,1966-02-01,
356,1966-03-01,
357,1966-04-01,
358,1966-05-01,
359,1966-06-01,
360,1966-07-01,
361,1966-08-01,
362,1966-09-01,
363,1966-10-01,
364,1966-11-01,
365,1966-12-01,
366,1967-01-01,
367,1967-02-01,
368,1967-03-01,
369,1967-04-01,
370,1967-05-01,
371,1967-06-01,
372,1967-07-01,
373,1967-08-01,
374,1967-09-01,
375,1967-10-01,
376,1967-11-01,
377,1967-12-01,
378,1968-01-01,
379,1968-02-01,
380,1968-03-01,
381,1968-04-01,
382,1968-05-01,
383,1968-06-01,
384,1968-07-01,
385,1968-08-01,
386,1968-09-01,
387,1968-10-01,
388,1968-11-01,
389,1968-12-01,
390,1969-01-01,
391,1969-02-01,
392,1969-03-01,
393,1969-04-01,
394,1969-05-01,
395,1969-06-01,
396,1969-07-01,
397,1969-08-01,
398,1969-09-01,
399,1969-10-01,
400,1969-11-01,
401,1969-12-01,
402,1970-01-01,
403,1970-02-01,
404,1970-03-01,
405,1970-04-01,
406,1970-05-01,
407,1970-06-01,
408,1970-07-01,
409,1970-08-01,
410,1970-09-01,
411,1970-10-01,
412,1970-11-01,
413,1970-12-01,
414,1971-01-01,
415,1971-02-01,
416,1971-03-01,
417,1971-04-01,
418,1971-05-01,
419,1971-06-01,
420,1971-07-01,
421,1971-08-01,
422,1971-09-01,
423,1971-10-01,
424,1971-11-01,
425,1971-12-01,
426,1972-01-01,
427,1972-02-01,
428,1972-03-01,
429,1972-04-01,
430,1972-05-01,
431,1972-06-01,
432,1972-07-01,
433,1972-08-01,
434,1972-09-01,
435,1972-10-01,
436,1972-11-01,
437,1972-12-01,
438,1973-01-01,
439,1973-02-01,
440,1973-03-01,
441,1973-04-01,
442,1973-05-01,
443,1973-06-01,
444,1973-07-01,
445,1973-08-01,
446,1973-09-01,
447,1973-10-01,
448,1973-11-01,
449,1973-12-01,
450,1974-01-01,
451,1974-02-01,
452,1974-03-01,
453,1974-04-01,
454,1974-05-01,
455,1974-06-01,
456,1974-07-01,
457,1974-08-01,
458,1974-09-01,
459,1974-10-01,
460,1974-11-01,
461,1974-12-01,
462,1975-01-01,
463,1975-02-01,
464,1975-03-01,
465,1975-04-01,
466,1975-05-01,
467,1975-06-01,
468,1975-07-01,
469,1975-08-01,
470,1975-09-01,
471,1975-10-01,
472,1975-11-01,
473,1975-12-01,
474,1976-01-01,
475,1976-02-01,
476,1976-03-01,
477,1976-04-01,
478,1976-05-01,
479,1976-06-01,
480,1976-07-01,
481,1976-08-01,
482,1976-09-01,
483,1976-10-01,
484,1976-11-01,
485,1976-12-01,
486,1977-01-01,
487,1977-02-01,
488,1977-03-01,
489,1977-04-01,
490,1977-05-01,
491,1977-06-01,
492,1977-07-01,
493,1977-08-01,
494,1977-09-01,
495,1977-10-01,
496,1977-11-01,
497,1977-12-01,
498,1978-01-01,
499,1978-02-01,
500,1978-03-01,
501,1978-04-01,
502,1978-05-01,
503,1978-06-01,
504,1978-07-01,
505,1978-08-01,
506,1978-09-01,
507,1978-10-01,
508,1978-11-01,
509,1978-12-01,
510,1979-01-01,
511,1979-02-01,
512,1979-03-01,
513,1979-04-01,
514,1979-05-01,
515,1979-06-01,
516,1979-07-01,
517,1979-08-01,
518,1979-09-01,
519,1979-10-01,
520,1979-11-01,
521,1979-12-01,
522,1980-01-01,
523,1980-02-01,
524,1980-03-01,
525,1980-04-01,
526,1980-05-01,
527,1980-06-01,
528,1980-07-01,
529,1980-08-01,
530,1980-09-01,
531,1980-10-01,
532,1980-11-01,
533,1980-12-01,
534,1981-01-01,
535,1981-02-01,
536,1981-03-01,
537,1981-04-01,
538,1981-05-01,
539,1981-06-01,
540,1981-07-01,
541,1981-08-01,
542,1981-09-01,
543,1981-10-01,
544,1981-11-01,
545,1981-12-01,
546,1982-01-01,
547,1982-02-01,
548,1982-03-01,
549,1982-04-01,
550,1982-05-01,
551,1982-06-01,
552,1982-07-01,
553,1982-08-01,
554,1982-09-01,
555,1982-10-01,
556,1982-11-01,
557,1982-12-01,
558,1983-01-01,
