fred_md_id,api_id,title,source_title,release_title,source_link,release_link,release_time,latex_equation,tcode,frequency
AAA,AAA,Moody's Seasoned Aaa Corporate Bond Yield (AAA),Moody's,Moody's Daily Corporate Bond Yield Average,https://www.moodys.com/,,,$\Delta x_t$,2,Monthly
AAAFFM,AAAFFM,Moody's Seasoned Aaa Corporate Bond Minus Federal Funds Rate (AAAFFM),Federal Reserve Bank of St. Louis,Interest Rate Spreads,http://www.stlouisfed.org/,,,No transformation,1,Monthly
ACOGNO,ACOGNO,Manufacturers' New Orders: Consumer Goods (ACOGNO),U.S. Census Bureau,"Manufacturer's Shipments, Inventories, and Orders (M3) Survey",http://www.census.gov/,http://www.census.gov/indicator/www/m3/,,$\Delta \log(x_t)$,5,Monthly
AMDMUOx,AMDMUO,Manufacturers' Unfilled Orders: Durable Goods (AMDMUO),U.S. Census Bureau,"Manufacturer's Shipments, Inventories, and Orders (M3) Survey",http://www.census.gov/,http://www.census.gov/indicator/www/m3/,,$\Delta \log(x_t)$,5,"Monthly,End of Period"
ANDENOx,ANDENO,Manufacturers' New Orders: Nondefense Capital Goods (ANDENO),U.S. Census Bureau,"Manufacturer's Shipments, Inventories, and Orders (M3) Survey",http://www.census.gov/,http://www.census.gov/indicator/www/m3/,,$\Delta \log(x_t)$,5,Monthly
AWHMAN,AWHMAN,"Average Weekly Hours of Production and Nonsupervisory Employees, Manufacturing (AWHMAN)",U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,No transformation,1,Monthly
AWOTMAN,AWOTMAN,"Average Weekly Overtime Hours of Production and Nonsupervisory Employees, Manufacturing (AWOTMAN)",U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,$\Delta x_t$,2,Monthly
BAA,BAA,Moody's Seasoned Baa Corporate Bond Yield (BAA),Moody's,Moody's Daily Corporate Bond Yield Averages,https://www.moodys.com/,,,$\Delta x_t$,2,Monthly
BAAFFM,BAAFFM,Moody's Seasoned Baa Corporate Bond Minus Federal Funds Rate (BAAFFM),Federal Reserve Bank of St. Louis,Interest Rate Spreads,http://www.stlouisfed.org/,,,No transformation,1,Monthly
BOGMBASE,BOGMBASE,Monetary Base; Total (BOGMBASE),Board of Governors of the Federal Reserve System (US),H.6 Money Stock Measures,http://www.federalreserve.gov/,http://www.federalreserve.gov/releases/h6/,,$\Delta^2 \log(x_t)$,6,Monthly
BUSINVx,BUSINV,Total Business Inventories (BUSINV),U.S. Census Bureau,Manufacturing and Trade Inventories and Sales,http://www.census.gov/,http://www.census.gov/mtis/www/mtis.html,,$\Delta \log(x_t)$,5,"Monthly,End of Period"
BUSLOANS,BUSLOANS,"Commercial and Industrial Loans, All Commercial Banks (BUSLOANS)",Board of Governors of the Federal Reserve System (US),H.8 Assets and Liabilities of Commercial Banks in the United States,http://www.federalreserve.gov/,http://www.federalreserve.gov/releases/h8/,,$\Delta^2 \log(x_t)$,6,Monthly
CE16OV,CE16OV,Employment Level (CE16OV),U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,$\Delta \log(x_t)$,5,Monthly
CES0600000007,CES0600000007,"Average Weekly Hours of Production and Nonsupervisory Employees, Goods-Producing (CES0600000007)",U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,No transformation,1,Monthly
CES0600000008,CES0600000008,"Average Hourly Earnings of Production and Nonsupervisory Employees, Goods-Producing (CES0600000008)",U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,$\Delta^2 \log(x_t)$,6,Monthly
CES1021000001,CES1021000001,"All Employees, Mining, Quarrying, and Oil and Gas Extraction (CES1021000001)",U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,$\Delta \log(x_t)$,5,Monthly
CES2000000008,CES2000000008,"Average Hourly Earnings of Production and Nonsupervisory Employees, Construction (CES2000000008)",U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,$\Delta^2 \log(x_t)$,6,Monthly
CES3000000008,CES3000000008,"Average Hourly Earnings of Production and Nonsupervisory Employees, Manufacturing (CES3000000008)",U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,$\Delta^2 \log(x_t)$,6,Monthly
CLF16OV,CLF16OV,Civilian Labor Force Level (CLF16OV),U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,$\Delta \log(x_t)$,5,Monthly
CMRMTSPLx,CMRMTSPL,Real Manufacturing and Trade Industries Sales (CMRMTSPL),Federal Reserve Bank of St. Louis,"Supplemental Estimates, Underlying Detail Tables, Spliced Series",http://www.stlouisfed.org/,,,$\Delta \log(x_t)$,5,Monthly
CP3Mx,CPF3M,90-Day AA Financial Commercial Paper Interest Rate (CPF3M),Board of Governors of the Federal Reserve System (US),H.15 Selected Interest Rates,http://www.federalreserve.gov/,http://www.federalreserve.gov/releases/h15/,,$\Delta x_t$,2,Monthly
CPIAPPSL,CPIAPPSL,Consumer Price Index for All Urban Consumers: Apparel in U.S. City Average (CPIAPPSL),U.S. Bureau of Labor Statistics,Consumer Price Index,https://www.bls.gov/,http://www.bls.gov/cpi/,,$\Delta^2 \log(x_t)$,6,Monthly
CPIAUCSL,CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items in U.S. City Average (CPIAUCSL),U.S. Bureau of Labor Statistics,Consumer Price Index,https://www.bls.gov/,http://www.bls.gov/cpi/,,$\Delta^2 \log(x_t)$,6,Monthly
CPIMEDSL,CPIMEDSL,Consumer Price Index for All Urban Consumers: Medical Care in U.S. City Average (CPIMEDSL),U.S. Bureau of Labor Statistics,Consumer Price Index,https://www.bls.gov/,http://www.bls.gov/cpi/,,$\Delta^2 \log(x_t)$,6,Monthly
CPITRNSL,CPITRNSL,Consumer Price Index for All Urban Consumers: Transportation in U.S. City Average (CPITRNSL),U.S. Bureau of Labor Statistics,Consumer Price Index,https://www.bls.gov/,http://www.bls.gov/cpi/,,$\Delta^2 \log(x_t)$,6,Monthly
CPIULFSL,CPIULFSL,Consumer Price Index for All Urban Consumers: All Items Less Food in U.S. City Average (CPIULFSL),U.S. Bureau of Labor Statistics,Consumer Price Index,https://www.bls.gov/,http://www.bls.gov/cpi/,,$\Delta^2 \log(x_t)$,6,Monthly
CUMFNS,CUMFNS,Capacity Utilization: Manufacturing (SIC) (CUMFNS),Board of Governors of the Federal Reserve System (US),G.17 Industrial Production and Capacity Utilization,http://www.federalreserve.gov/,http://www.federalreserve.gov/releases/g17/,,$\Delta x_t$,2,Monthly
CUSR0000SA0L2,CUSR0000SA0L2,Consumer Price Index for All Urban Consumers: All Items Less Shelter in U.S. City Average (CUSR0000SA0L2),U.S. Bureau of Labor Statistics,Consumer Price Index,https://www.bls.gov/,http://www.bls.gov/cpi/,,$\Delta^2 \log(x_t)$,6,Monthly
CUSR0000SA0L5,CUSR0000SA0L5,Consumer Price Index for All Urban Consumers: All Items Less Medical Care in U.S. City Average (CUSR0000SA0L5),U.S. Bureau of Labor Statistics,Consumer Price Index,https://www.bls.gov/,http://www.bls.gov/cpi/,,$\Delta^2 \log(x_t)$,6,Monthly
CUSR0000SAC,CUSR0000SAC,Consumer Price Index for All Urban Consumers: Commodities in U.S. City Average (CUSR0000SAC),U.S. Bureau of Labor Statistics,Consumer Price Index,https://www.bls.gov/,http://www.bls.gov/cpi/,,$\Delta^2 \log(x_t)$,6,Monthly
CUSR0000SAD,CUSR0000SAD,Consumer Price Index for All Urban Consumers: Durables in U.S. City Average (CUSR0000SAD),U.S. Bureau of Labor Statistics,Consumer Price Index,https://www.bls.gov/,http://www.bls.gov/cpi/,,$\Delta^2 \log(x_t)$,6,Monthly
CUSR0000SAS,CUSR0000SAS,Consumer Price Index for All Urban Consumers: Services in U.S. City Average (CUSR0000SAS),U.S. Bureau of Labor Statistics,Consumer Price Index,https://www.bls.gov/,http://www.bls.gov/cpi/,,$\Delta^2 \log(x_t)$,6,Monthly
DDURRG3M086SBEA,DDURRG3M086SBEA,Personal consumption expenditures: Durable goods (chain-type price index) (DDURRG3M086SBEA),U.S. Bureau of Economic Analysis,Personal Income and Outlays,http://www.bea.gov/,https://www.bea.gov/data/income-saving/personal-income,,$\Delta^2 \log(x_t)$,6,Monthly
AMDMNOx,DGORDER,Manufacturers' New Orders: Durable Goods (DGORDER),U.S. Census Bureau,"Manufacturer's Shipments, Inventories, and Orders (M3) Survey",http://www.census.gov/,http://www.census.gov/indicator/www/m3/,,$\Delta \log(x_t)$,5,Monthly
DMANEMP,DMANEMP,"All Employees, Durable Goods (DMANEMP)",U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,$\Delta \log(x_t)$,5,Monthly
DNDGRG3M086SBEA,DNDGRG3M086SBEA,Personal consumption expenditures: Nondurable goods (chain-type price index) (DNDGRG3M086SBEA),U.S. Bureau of Economic Analysis,Personal Income and Outlays,http://www.bea.gov/,https://www.bea.gov/data/income-saving/personal-income,,$\Delta^2 \log(x_t)$,6,Monthly
DPCERA3M086SBEA,DPCERA3M086SBEA,Real personal consumption expenditures (chain-type quantity index) (DPCERA3M086SBEA),U.S. Bureau of Economic Analysis,Personal Income and Outlays,http://www.bea.gov/,https://www.bea.gov/data/income-saving/personal-income,,$\Delta \log(x_t)$,5,Monthly
DSERRG3M086SBEA,DSERRG3M086SBEA,Personal consumption expenditures: Services (chain-type price index) (DSERRG3M086SBEA),U.S. Bureau of Economic Analysis,Personal Income and Outlays,http://www.bea.gov/,https://www.bea.gov/data/income-saving/personal-income,,$\Delta^2 \log(x_t)$,6,Monthly
DTCOLNVHFNM,DTCOLNVHFNM,"Consumer Motor Vehicle Loans Owned by Finance Companies, Level (DTCOLNVHFNM)",Board of Governors of the Federal Reserve System (US),G.20 Finance Companies,http://www.federalreserve.gov/,http://www.federalreserve.gov/releases/g20/,,$\Delta^2 \log(x_t)$,6,Monthly
DTCTHFNM,DTCTHFNM,"Total Consumer Loans and Leases Owned and Securitized by Finance Companies, Level (DTCTHFNM)",Board of Governors of the Federal Reserve System (US),G.20 Finance Companies,http://www.federalreserve.gov/,http://www.federalreserve.gov/releases/g20/,,$\Delta^2 \log(x_t)$,6,Monthly
