series_id,source_title,release_title,source_link,release_link,release_time,title,latex_equation,tcode,frequency
AAA,Moody's,Moody's Daily Corporate Bond Yield Average,https://www.moodys.com/,,,Moody's Seasoned Aaa Corporate Bond Yield (AAA),$\Delta x_t$,2,Monthly
AAAFFM,Federal Reserve Bank of St. Louis,Interest Rate Spreads,http://www.stlouisfed.org/,,,Moody's Seasoned Aaa Corporate Bond Minus Federal Funds Rate (AAAFFM),No transformation,1,Monthly
ACOGNO,U.S. Census Bureau,"Manufacturer's Shipments, Inventories, and Orders (M3) Survey",http://www.census.gov/,http://www.census.gov/indicator/www/m3/,,Manufacturers' New Orders: Consumer Goods (ACOGNO),$\Delta \log(x_t)$,5,Monthly
AMDMUO,U.S. Census Bureau,"Manufacturer's Shipments, Inventories, and Orders (M3) Survey",http://www.census.gov/,http://www.census.gov/indicator/www/m3/,,Manufacturers' Unfilled Orders: Durable Goods (AMDMUO),$\Delta \log(x_t)$,5,"Monthly,End of Period"
ANDENO,U.S. Census Bureau,"Manufacturer's Shipments, Inventories, and Orders (M3) Survey",http://www.census.gov/,http://www.census.gov/indicator/www/m3/,,Manufacturers' New Orders: Nondefense Capital Goods (ANDENO),$\Delta \log(x_t)$,5,Monthly
AWHMAN,U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,"Average Weekly Hours of Production and Nonsupervisory Employees, Manufacturing (AWHMAN)",No transformation,1,Monthly
AWOTMAN,U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,"Average Weekly Overtime Hours of Production and Nonsupervisory Employees, Manufacturing (AWOTMAN)",$\Delta x_t$,2,Monthly
BAA,Moody's,Moody's Daily Corporate Bond Yield Averages,https://www.moodys.com/,,,Moody's Seasoned Baa Corporate Bond Yield (BAA),$\Delta x_t$,2,Monthly
BAAFFM,Federal Reserve Bank of St. Louis,Interest Rate Spreads,http://www.stlouisfed.org/,,,Moody's Seasoned Baa Corporate Bond Minus Federal Funds Rate (BAAFFM),No transformation,1,Monthly
BOGMBASE,Board of Governors of the Federal Reserve System (US),H.6 Money Stock Measures,http://www.federalreserve.gov/,http://www.federalreserve.gov/releases/h6/,,Monetary Base; Total (BOGMBASE),$\Delta^2 \log(x_t)$,6,Monthly
BUSINV,U.S. Census Bureau,Manufacturing and Trade Inventories and Sales,http://www.census.gov/,http://www.census.gov/mtis/www/mtis.html,,Total Business Inventories (BUSINV),$\Delta \log(x_t)$,5,"Monthly,End of Period"
BUSLOANS,Board of Governors of the Federal Reserve System (US),H.8 Assets and Liabilities of Commercial Banks in the United States,http://www.federalreserve.gov/,http://www.federalreserve.gov/releases/h8/,,"Commercial and Industrial Loans, All Commercial Banks (BUSLOANS)",$\Delta^2 \log(x_t)$,6,Monthly
CE16OV,U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,Employment Level (CE16OV),$\Delta \log(x_t)$,5,Monthly
CES0600000007,U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,"Average Weekly Hours of Production and Nonsupervisory Employees, Goods-Producing (CES0600000007)",No transformation,1,Monthly
CES0600000008,U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,"Average Hourly Earnings of Production and Nonsupervisory Employees, Goods-Producing (CES0600000008)",$\Delta^2 \log(x_t)$,6,Monthly
CES1021000001,U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,"All Employees, Mining, Quarrying, and Oil and Gas Extraction (CES1021000001)",$\Delta \log(x_t)$,5,Monthly
CES2000000008,U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,"Average Hourly Earnings of Production and Nonsupervisory Employees, Construction (CES2000000008)",$\Delta^2 \log(x_t)$,6,Monthly
CES3000000008,U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,"Average Hourly Earnings of Production and Nonsupervisory Employees, Manufacturing (CES3000000008)",$\Delta^2 \log(x_t)$,6,Monthly
CLF16OV,U.S. Bureau of Labor Statistics,Employment Situation,https://www.bls.gov/,http://www.bls.gov/ces/,,Civilian Labor Force Level (CLF16OV),$\Delta \log(x_t)$,5,Monthly
CMRMTSPL,Federal Reserve Bank of St. Louis,"Supplemental Estimates, Underlying Detail Tables, Spliced Series",http://www.stlouisfed.org/,,,Real Manufacturing and Trade Industries Sales (CMRMTSPL),$\Delta \log(x_t)$,5,Monthly
CPF3M,Board of Governors of the Federal Reserve System (US),H.15 Selected Interest Rates,http://www.federalreserve.gov/,http://www.federalreserve.gov/releases/h15/,,90-Day AA Financial Commercial Paper Interest Rate (CPF3M),$\Delta x_t$,2,Monthly
CPIAPPSL,U.S. Bureau of Labor Statistics,Consumer Price Index,https://www.bls.gov/,http://www.bls.gov/cpi/,,Consumer Price Index for All Urban Consumers: Apparel in U.S. City Average (CPIAPPSL),$\Delta^2 \log(x_t)$,6,Monthly
CPIAUCSL,U.S. Bureau of Labor Statistics,Consumer Price Index,https://www.bls.gov/,http://www.bls.gov/cpi/,,Consumer Price Index for All Urban Consumers: All Items in U.S. City Average (CPIAUCSL),$\Delta^2 \log(x_t)$,6,Monthly
CPIMEDSL,U.S. Bureau of Labor Statistics,Consumer Price Index,https://www.bls.gov/,http://www.bls.gov/cpi/,,Consumer Price Index for All Urban Consumers: Medical Care in U.S. City Average (CPIMEDSL),$\Delta^2 \log(x_t)$,6,Monthly
