symbol,name,currency,summary,category_group,category,family,exchange,market
^ACWI,ISHARES TRUST,USD,,,,,NIM,us_market
^ADFI-IV,NFIELD DYNAMIC FIXED INCOME ETF,USD,,,,,ASE,us_market
^ADRE,INVESCO ACTIVELY M,USD,,,,,NIM,us_market
^ARB-EU,ALTSHARES MERGER ARBITRAGE ETF,USD,,,,,ASE,us_market
^ARB-IV,ALTSHARES MERGER ARBITRAGE ETF,USD,,,,,ASE,us_market
^ARB-NV,ALTSHARES MERGER ARBITRAGE ETF,USD,,,,,ASE,us_market
^ARB-TC,ALTSHARES MERGER ARBITRAGE ETF,USD,,,,,ASE,us_market
^ASET,FLEXSHARES TRUST,USD,,,,,NIM,us_market
^BICK,FIRST TR BICK INDE,USD,,,,,NIM,us_market
^BND,VANGUARD BD IDX FD,USD,,,,Vanguard Asset Management,NIM,us_market
^BNDX,VANGUARD CHARLOTTE,USD,,,,Vanguard Asset Management,NIM,us_market
^CDC,VICTORY PTF II,USD,,,,,NIM,us_market
^CID,VICTORY PTF II,USD,,,,,NIM,us_market
^DRIV,Global X Autonomous  Electric V,USD,,,,,NIM,us_market
^EBLU-EU,ECOFIN GLOBAL WATER ESG FUND Es,USD,,,,,ASE,us_market
^EBLU-NV,ECOFIN GLOBAL WATER ESG FUND Ne,USD,,,,,ASE,us_market
^EBLU-TC,ECOFIN GLOBAL WATER ESG FUND To,USD,,,,,ASE,us_market
^EVLMC,EATON VANCE NEXTSH,USD,,,,,NIM,us_market
^FIXD,FIRST TR ETF VIII,USD,,,,,NIM,us_market
^IDLB,INVESCO EXCH TRDII,USD,,,,Invesco Investment Management,NIM,us_market
^IPKW,INVESCO EXCH TRDII,USD,,,,Invesco Investment Management,NIM,us_market
^LDSF,FIRST TR ETF VIII,USD,,,,,NIM,us_market
^NXTG,FIRST TR EXCHGE FD,USD,,,,,NIM,us_market
^ONEQ,FIDELITY COMMWLTH,USD,,,,,NIM,us_market
^PNQI,INVESCO EXCHG TRAD,USD,,,,Invesco Investment Management,NIM,us_market
^PRFZ,INVESCO EXCHG TRAD,USD,,,,Invesco Investment Management,NIM,us_market
^PSCC,INVESCO EXCH TRDII,USD,,,,Invesco Investment Management,NIM,us_market
^PSCD,INVESCO EXCH TRDII,USD,,,,Invesco Investment Management,NIM,us_market
^PSCE,INVESCO EXCH TRDII,USD,,,,Invesco Investment Management,NIM,us_market
^PSCF,INVESCO EXCH TRDII,USD,,,,Invesco Investment Management,NIM,us_market
^PSCI,INVESCO EXCH TRDII,USD,,,,Invesco Investment Management,NIM,us_market
^PSCT,INVESCO EXCH TRDII,USD,,,,Invesco Investment Management,NIM,us_market
^PSCU,INVESCO EXCH TRDII,USD,,,,Invesco Investment Management,NIM,us_market
^QABA,FIRST TR NSQ ABA F,USD,,,,,NIM,us_market
^REIT,ALPS ETF TRUST,USD,,,,,DJI,us_market
^SLVO,CREDIT SUISSE NASS,USD,,,,Credit Suisse Asset Management,NIM,us_market
^SPQQ,SIREN ETF TR,USD,,,,,NIM,us_market
^UFO,PROCURE ETF TR II,USD,,,,,NIM,us_market
^USLB,INVESCO EXCH TRDII,USD,,,,Invesco Investment Management,NIM,us_market
^USOI,CREDIT SUISSE NASS,USD,,,,Credit Suisse Asset Management,NIM,us_market
^VCIT,VANGUARD SCOTTSDAL,USD,,,,Vanguard Asset Management,NIM,us_market
^VCLT,VANGUARD SCOTTSDAL,USD,,,,Vanguard Asset Management,NIM,us_market
^VCSH,VANGUARD SCOTTSDAL,USD,,,,Vanguard Asset Management,NIM,us_market
^VGIT,VANGUARD SCOTTSDAL,USD,,,,Vanguard Asset Management,NIM,us_market
^VGLT,VANGUARD SCOTTSDAL,USD,,,,Vanguard Asset Management,NIM,us_market
^VGSH,VANGUARD SCOTTSDAL,USD,,,,Vanguard Asset Management,NIM,us_market
^VIGI,VANGUARD WHITEHALL,USD,,,,Vanguard Asset Management,NIM,us_market
^VMBS,VANGUARD SCOTTSDAL,USD,,,,Vanguard Asset Management,NIM,us_market
^VONE,VANGUARD SCOTTSDAL,USD,,,,Vanguard Asset Management,NIM,us_market
^VONG,VANGUARD SCOTTSDAL,USD,,,,Vanguard Asset Management,NIM,us_market
^VONV,VANGUARD SCOTTSDAL,USD,,,,Vanguard Asset Management,NIM,us_market
^VRIG,INVESCO ACTIVELY M,USD,,,,Invesco Investment Management,NIM,us_market
^VTC,VANGUARD SCOTTSDAL,USD,,,,Vanguard Asset Management,NIM,us_market
^VTHR,VANGUARD SCOTTSDAL,USD,,,,Vanguard Asset Management,NIM,us_market
^VTIP,VANGUARD MALVERN F,USD,,,,Vanguard Asset Management,NIM,us_market
^VTWG,VANGUARD SCOTTSDAL,USD,,,,Vanguard Asset Management,NIM,us_market
^VTWO,VANGUARD SCOTTSDAL,USD,,,,Vanguard Asset Management,NIM,us_market
^VTWV,VANGUARD SCOTTSDAL,USD,,,,Vanguard Asset Management,NIM,us_market
^VWOB,VANGUARD WHITEHALL,USD,,,,Vanguard Asset Management,NIM,us_market
^VYMI,VANGUARD WHITEHALL,USD,,,,Vanguard Asset Management,NIM,us_market
AAA,AAF First Priority CLO Bond ETF,USD,"The investment seeks capital preservation and income.
 The fund is an actively-managed exchange-traded fund (âETFâ) that pursues its investment objective by investing, under normal circumstances, at least 80% of its net assets (plus any borrowings made for investment purposes) in AAA rated first priority debt tranches of U.S. dollar-dominated collateralized loan obligations (âCLOsâ). It may invest in CLOs of any maturity. The fund is actively managed and does not seek to track the performance of any particular index.",,,Alternative Access Funds,PCX,us_market
AAAU,Goldman Sachs Physical Gold ETF,USD,"The investment seeks to provide investors with an opportunity to invest in gold through shares, and have the gold securely stored by the Custodial Sponsor; reflecting the performance of the price of gold less the expenses of the trustâs operations is the secondary consideration.
 The trust holds London Bars and Physical Gold of other specifications without numismatic value. It receives gold deposited by Authorized Participants in exchange for the creation of Baskets and delivers gold to Authorized Participants in exchange for Baskets surrendered to it for redemption.",,,Exchange Traded Concepts,PCX,us_market
AADR,AdvisorShares Dorsey Wright ADR ETF,USD,,,,AdvisorShares,NMS,us_market
AAXJ,iShares MSCI All Country Asia ex Japan ETF,USD,"The investment seeks to track the investment results of the MSCI AC Asia ex Japan Index.
 The fund will invest at least 90% of its assets in the component securities of the index and in investments that have economic characteristics that are substantially identical to the component securities of the index. The index is a free float-adjusted market capitalization index designed to measure equity market performance of securities from the following 11 developed and emerging market countries or regions: China, Hong Kong, India, Indonesia, Malaysia, Pakistan, the Philippines, Singapore, South Korea, Taiwan and Thailand.",Equities,Emerging Markets,BlackRock Asset Management,NMS,us_market
ABCS,Guggenheim ABC High Dividend ET,,,,,,PCX,us_market
ABEQ,Absolute Core Strategy ETF,USD,"The investment seeks positive absolute returns.
 The fund&#39;s investment sub-adviser (the ""Subadviser""), seeks to achieve it&#39;s objective by investing primarily in equity securities of U.S. companies that the Subadviser believes are priced at a substantial discount to the Subadviser&#39;s estimate of fair value. The fund may invest in companies of any market capitalization and in any economic sector, including equity securities of foreign companies that trade on U.S. exchanges, either directly or through American Depositary Receipts (""ADRs""). It is non-diversified.",Equities,Factors,Absolute Investment Advisers,PCX,us_market
