symbol,name,currency,market,exchange,exchange timezone
GBKX,KBW Nasdaq Global Bank Index,,us_market,NIM,EDT
GBKXN,KBW Nasdaq Global Bank Net Total Return Index,,us_market,NIM,EDT
GBKXT,KBW Nasdaq Global Bank Total Return Index,,us_market,NIM,EDT
^A1BSC,Dow Jones Americas Basic Materi,USD,us_market,DJI,EDT
^A1CYC,Dow Jones Americas Consumer Ser,USD,us_market,DJI,EDT
^A1DOW,Dow Jones Americas Index,USD,us_market,DJI,EDT
^A1ENE,Dow Jones Americas Oil & Gas In,USD,us_market,DJI,EDT
^A1FIN,Dow Jones Americas Financials I,USD,us_market,DJI,EDT
^A1HCR,Dow Jones Americas Health Care ,USD,us_market,DJI,EDT
^A1IDU,Dow Jones Americas Industrials ,USD,us_market,DJI,EDT
^A1NCY,Dow Jones Americas Consumer Goo,USD,us_market,DJI,EDT
^A1SGI,Dow Jones Sustainability North ,USD,us_market,DJI,EDT
^A1TEC,Dow Jones Americas Technology I,USD,us_market,DJI,EDT
^A1TLS,Dow Jones Americas Telecommunic,USD,us_market,DJI,EDT
^A1UTI,Dow Jones Americas Utilities In,USD,us_market,DJI,EDT
^AAA-EU,AAF FIRST PRIORITY CLO BOND ETF,USD,us_market,ASE,EDT
^AAA-NV,AAF FIRST PRIORITY CLO BOND ETF,USD,us_market,ASE,EDT
^AAA-TC,AAF FIRST PRIORITY CLO BOND ETF,USD,us_market,ASE,EDT
^AAAU-IV,Perth Mint Physical Gold ETF Sh,USD,us_market,ASE,EDT
^AAAU-NV,Perth Mint Physical Gold ETF Sh,USD,us_market,ASE,EDT
^AADR-EU,AdvisorShares Dorsey Wright ADR,USD,us_market,ASE,EDT
^AADR-IV,AdvisorShares Dorsey Wright ADR,USD,us_market,ASE,EDT
^AADR-NV,AdvisorShares Dorsey Wright ADR,USD,us_market,ASE,EDT
^AADR-TC,AdvisorShares Dorsey Wright ADR,USD,us_market,ASE,EDT
^ABAQ,ABA Community Bank NASDAQ,USD,us_market,NIM,EDT
^ABCERI,Auspice Broad Commodity Excess ,USD,us_market,NYS,EDT
^ABEQ-EU,Absolute Core Strategy ETF Esti,USD,us_market,ASE,EDT
^ABEQ-IV,Absolute Core Strategy ETF Intr,USD,us_market,ASE,EDT
^ABEQ-NV,Absolute Core Strategy ETF Net ,USD,us_market,ASE,EDT
^ABEQ-TC,Absolute Core Strategy ETF Tota,USD,us_market,ASE,EDT
^ABQI,NASDAQ OMX Aba Community Bank,USD,us_market,NIM,EDT
^ABQX,NASDAQ OMX Aba Community Bank T,USD,us_market,NIM,EDT
^ABRVXX,ABR Dynamic Blend Equity and Vo,USD,us_market,NYS,EDT
^ACES-EU,ALPS CLEAN ENERGY ETF ESTIMATED,USD,us_market,ASE,EDT
^ACES-IV,ALPS CLEAN ENERGY ETF INTRADAY ,USD,us_market,ASE,EDT
^ACES-NV,ALPS CLEAN ENERGY ETF NET ASSET,USD,us_market,ASE,EDT
^ACES-TC,ALPS CLEAN ENERGY ETF TOTAL CAS,USD,us_market,ASE,EDT
^ACIO-IV,ETF SERIES SOLUTIONS APTUS COLL,USD,us_market,ASE,EDT
^ACSG-EU,XTRACKERS MSCI ACWI EX USA ESG ,USD,us_market,ASE,EDT
^ACSG-IV,XTRACKERS MSCI ACWI EX USA ESG ,USD,us_market,ASE,EDT
^ACSG-NV,XTRACKERS MSCI ACWI EX USA ESG ,USD,us_market,ASE,EDT
^ACSG-TC,XTRACKERS MSCI ACWI EX USA ESG ,USD,us_market,ASE,EDT
^ACSI-IV,American Customer Satisfaction ,USD,us_market,ASE,EDT
^ACVF-EU,AMERICAN CONSERVATIVE VALUES ET,USD,us_market,ASE,EDT
^ACVF-IV,AMERICAN CONSERVATIVE VALUES ET,USD,us_market,ASE,EDT
^ACVF-NV,AMERICAN CONSERVATIVE VALUES ET,USD,us_market,ASE,EDT
^ACVF-TC,AMERICAN CONSERVATIVE VALUES ET,USD,us_market,ASE,EDT
^ACWF-EU,iShares Edge MSCI Multifactor G,USD,us_market,ASE,EDT
^ACWF-IV,iShares Edge MSCI Multifactor G,USD,us_market,ASE,EDT
^ACWF-NV,iShares Edge MSCI Multifactor G,USD,us_market,ASE,EDT
^ACWF-TC,iShares Edge MSCI Multifactor G,USD,us_market,ASE,EDT
^ACWV-EU,iShares Edge MSCI Min Volatilit,USD,us_market,ASE,EDT
^ACWV-IV,iShares Edge MSCI Min Volatilit,USD,us_market,ASE,EDT
^ACWV-NV,iShares Edge MSCI Min Volatilit,USD,us_market,ASE,EDT
^ACWV-TC,iShares Edge MSCI Min Volatilit,USD,us_market,ASE,EDT
^ADIV-EU,SMARTETFS ASIA PACIFIC DIVIDEND,USD,us_market,ASE,EDT
^ADIV-NV,SMARTETFS ASIA PACIFIC DIVIDEND,USD,us_market,ASE,EDT
^ADIV-TC,SMARTETFS ASIA PACIFIC DIVIDEND,USD,us_market,ASE,EDT
^ADME-IV,APTUS DRAWDOWN MANAGED EQUITY E,USD,us_market,ASE,EDT
^ADOW,The Asia Dow (USD),USD,us_market,DJI,EDT
^ADOWA,The Asia Dow (AUD),AUD,us_market,DJI,EDT
^ADOWE,The Asia Dow (EUR),EUR,us_market,DJI,EDT
^ADOWJ,The Asia Dow (JPY),JPY,us_market,DJI,EDT
^ADR,NYSE Arca International Market ,USD,us_market,NYS,EDT
^ADZ-IV,DB Agriculture Short ETN (Intra,USD,us_market,ASE,EDT
^ADZ-NV,DB Agriculture Short ETN due Ap,USD,us_market,ASE,EDT
^ADZ-RP,DB Agriculture Short ETN,USD,us_market,ASE,EDT
^AEDW,Alerian Midstream Energy Divide,USD,us_market,SNP,EDT
^AEDWN,Alerian Midstream Energy Divide,USD,us_market,SNP,EDT
^AEDWT,Alerian Midstream Energy Divide,USD,us_market,SNP,EDT
^AEIPR,American Energy Independence Pr,USD,us_market,SNP,EDT
^AEITR,American Energy Independence To,USD,us_market,SNP,EDT
^AESR-IV,TWO RDS SHARED TRUST ANFIELD US,USD,us_market,ASE,EDT
^AEX,AEX-INDEX,EUR,nl_market,AMS,CEST
^AFIF-IV,Anfield Universal Fixed Income ,USD,us_market,ASE,EDT
^AFK-EU,VanEck Vectors Africa Index ETF,USD,us_market,ASE,EDT
^AFK-IV,VanEck Vectors Africa Index ETF,USD,us_market,ASE,EDT
^AFK-NV,VanEck Vectors Africa Index ETF,USD,us_market,ASE,EDT
^AFK-TC,VanEck Vectors Africa Index ETF,USD,us_market,ASE,EDT
^AFLG-EU,First Trust Active Factor Large,USD,us_market,ASE,EDT
^AFLG-IV,First Trust Active Factor Large,USD,us_market,ASE,EDT
^AFLG-NV,First Trust Active Factor Large,USD,us_market,ASE,EDT
^AFLG-TC,First Trust Active Factor Large,USD,us_market,ASE,EDT
^AFLI,S&P/ASX 50,AUD,au_market,ASX,AEST
^AFSM-EU,First Trust Active Factor Small,USD,us_market,ASE,EDT
^AFSM-IV,First Trust Active Factor Small,USD,us_market,ASE,EDT
^AFSM-NV,First Trust Active Factor Small,USD,us_market,ASE,EDT
^AFSM-TC,First Trust Active Factor Small,USD,us_market,ASE,EDT
^AFTY-EU,Pacer CSOP FTSE China A50 ETF E,USD,us_market,ASE,EDT
^AFTY-IV,Pacer CSOP FTSE China A50 ETF I,USD,us_market,ASE,EDT
^AFTY-NV,Pacer CSOP FTSE China A50 ETF N,USD,us_market,ASE,EDT
^AFTY-TC,Pacer CSOP FTSE China A50 ETF T,USD,us_market,ASE,EDT
^AGA-RP,DB Agriculture Double Short ETN,USD,us_market,NYS,EDT
^AGG-IV,ISHARES LEHMAN AGGREGATE BOND F,USD,us_market,ASE,EDT
^AGGY-EU,WisdomTree Yield Enhanced U.S. ,USD,us_market,ASE,EDT
^AGGY-NV,WisdomTree Yield Enhanced U.S. ,USD,us_market,ASE,EDT
^AGGY-TC,WisdomTree Yield Enhanced U.S. ,USD,us_market,ASE,EDT
^AGIXL,Ardour Global Index Extra Liqui,USD,us_market,NYS,EDT
^AGIXLE,Ardour Global Index Extra Liqui,EUR,us_market,NYS,EDT
^AGIXLET,Ardour Global Index Extra Liqui,EUR,us_market,NYS,EDT
^AGIXLT,Ardour Global Index Extra Liqui,USD,us_market,NYS,EDT
