symbol,name,currency,market,exchange,exchange timezone
^AEX,AEX-INDEX,EUR,nl_market,AMS,CEST
^AFLI,S&P/ASX 50,AUD,au_market,ASX,AEST
^AGNG-EU,,USD,us_market,ASE,EDT
^AGNG-IV,,USD,us_market,ASE,EDT
^AGNG-NV,,USD,us_market,ASE,EDT
^AGNG-TC,,USD,us_market,ASE,EDT
^AMBOR30,,USD,us_market,WCB,EDT
^AMBOR30T,,USD,us_market,WCB,EDT
^AMBOR90,,USD,us_market,WCB,EDT
^AMBOS,,USD,us_market,WCB,EDT
^AMBOX,,USD,us_market,WCB,EDT
^AMBRS,,USD,us_market,WCB,EDT
^AMBRX,,USD,us_market,WCB,EDT
^AMBTS,,USD,us_market,WCB,EDT
^AMBTX,,USD,us_market,WCB,EDT
^AMBWS,,USD,us_market,WCB,EDT
^AMBWX,,USD,us_market,WCB,EDT
^AMCC,,USD,us_market,SNP,EDT
^AMCCN,,USD,us_market,SNP,EDT
^AMCCT,,USD,us_market,SNP,EDT
^AMERIBOR,,USD,us_market,WCB,EDT
^AMERIBOR30P,,USD,us_market,WCB,EDT
^AMERMANP,,USD,us_market,SNP,EDT
^AMNTR,,USD,us_market,SNP,EDT
^AMX,AMX-INDEX,EUR,nl_market,AMS,CEST
^AMZ,ALERIAN MLP INDEX,USD,us_market,NYS,EDT
^AORD,ALL ORDINARIES,AUD,au_market,ASX,AEST
^APRZ-IV,,USD,us_market,ASE,EDT
^ARKX-IV,,USD,us_market,ASE,EDT
^ASPY-IV,,USD,us_market,ASE,EDT
^ATLI,S&P/ASX 20,AUD,au_market,ASX,AEST
^ATOI,S&P/ASX 100,AUD,au_market,ASX,AEST
^ATX,Austrian Traded Index in EUR,EUR,at_market,VIE,CEST
^ATX5,ATX five in EUR,EUR,at_market,VIE,CEST
^ATXPRIME,ATX Prime in EUR,EUR,at_market,VIE,CEST
^ATXR,S&P CoreLogic Case-Shiller Atla,USD,us_market,SNP,EDT
^AVGRNTSP,,USD,us_market,WCB,EDT
^AVT5EQTB,,USD,us_market,WCB,EDT
^AVT5ETTB,,USD,us_market,WCB,EDT
^AXAT,S&P/ASX ALL AUSTRALIAN 200,AUD,au_market,ASX,AEST
^AXDJ,S&P/ASX 200 Cons Disc,AUD,au_market,ASX,AEST
^AXEJ,S&P/ASX 200 Energy,AUD,au_market,ASX,AEST
^AXFJ,S&P/ASX 200 Financials,AUD,au_market,ASX,AEST
^AXHJ,S&P/ASX 200 Health Care,AUD,au_market,ASX,AEST
^AXIJ,S&P/ASX 200 Info Tech,AUD,au_market,ASX,AEST
^AXJO,S&P/ASX 200,AUD,au_market,ASX,AEST
^AXJR,S&P/ASX 200 RESOURCES,AUD,au_market,ASX,AEST
^AXKO,S&P/ASX 300,AUD,au_market,ASX,AEST
^AXMD,S&P/ASX MIDCAP50,AUD,au_market,ASX,AEST
^AXMJ,S&P/ASX 200 Materials,AUD,au_market,ASX,AEST
^AXMM,S&P/ASX 300 Metal & Mining,AUD,au_market,ASX,AEST
^AXNJ,S&P/ASX 200 Industrials,AUD,au_market,ASX,AEST
^AXPJ,S&P/ASX 200 A-REIT,AUD,au_market,ASX,AEST
^AXSJ,S&P/ASX 200 Cons Staples,AUD,au_market,ASX,AEST
