Date,Open,High,Low,Close,Adj Close,Volume
2015-08-03,7.599999904632568,7.599999904632568,7.599999904632568,7.599999904632568,7.599999904632568,0
2015-08-04,7.599999904632568,7.599999904632568,7.599999904632568,7.599999904632568,7.599999904632568,0
2015-08-05,7.599999904632568,7.599999904632568,7.599999904632568,7.599999904632568,7.599999904632568,0
2015-08-06,7.599999904632568,7.599999904632568,7.599999904632568,7.599999904632568,7.599999904632568,0
2015-08-07,7.599999904632568,7.599999904632568,7.599999904632568,7.599999904632568,7.599999904632568,0
2015-08-10,7.599999904632568,7.599999904632568,7.599999904632568,7.599999904632568,7.599999904632568,0
2015-08-11,7.599999904632568,7.599999904632568,7.599999904632568,7.599999904632568,7.599999904632568,0
2015-08-12,7.599999904632568,7.599999904632568,7.599999904632568,7.599999904632568,7.599999904632568,0
2015-08-13,7.599999904632568,7.599999904632568,7.599999904632568,7.599999904632568,7.599999904632568,0
2015-08-14,7.599999904632568,7.599999904632568,7.599999904632568,7.599999904632568,7.599999904632568,0
2015-08-17,7.599999904632568,7.599999904632568,7.599999904632568,7.599999904632568,7.599999904632568,0
2015-08-18,7.599999904632568,7.599999904632568,7.599999904632568,7.599999904632568,7.599999904632568,0
2015-08-19,7.599999904632568,7.599999904632568,7.599999904632568,7.599999904632568,7.599999904632568,0
2015-08-20,7.659999847412109,8.0,7.659999847412109,7.679999828338623,7.679999828338623,1800
2015-08-21,7.679999828338623,7.679999828338623,7.679999828338623,7.679999828338623,7.679999828338623,0
2015-08-24,7.679999828338623,7.679999828338623,7.679999828338623,7.679999828338623,7.679999828338623,0
2015-08-25,7.679999828338623,7.679999828338623,7.679999828338623,7.679999828338623,7.679999828338623,0
2015-08-26,7.679999828338623,7.679999828338623,7.679999828338623,7.679999828338623,7.679999828338623,0
2015-08-27,7.679999828338623,7.679999828338623,7.679999828338623,7.679999828338623,7.679999828338623,0
2015-08-28,7.679999828338623,7.679999828338623,7.679999828338623,7.679999828338623,7.679999828338623,0
2015-08-31,7.679999828338623,7.679999828338623,7.679999828338623,7.679999828338623,7.679999828338623,0
2015-09-01,7.679999828338623,7.679999828338623,7.679999828338623,7.679999828338623,7.679999828338623,0
2015-09-02,7.679999828338623,7.679999828338623,7.679999828338623,7.679999828338623,7.679999828338623,0
2015-09-03,7.679999828338623,7.679999828338623,7.679999828338623,7.679999828338623,7.679999828338623,0
2015-09-04,7.679999828338623,7.679999828338623,7.679999828338623,7.679999828338623,7.679999828338623,0
2015-09-08,7.679999828338623,7.679999828338623,7.679999828338623,7.679999828338623,7.679999828338623,0
2015-09-09,8.0,8.0,8.0,8.0,8.0,100
2015-09-10,8.0,8.0,8.0,8.0,8.0,0
2015-09-11,8.0,8.0,8.0,8.0,8.0,0
2015-09-14,8.0,8.0,8.0,8.0,8.0,0
2015-09-15,8.0,8.0,8.0,8.0,8.0,0
2015-09-16,8.0,8.0,8.0,8.0,8.0,0
2015-09-17,8.0,8.0,8.0,8.0,8.0,0
2015-09-18,8.0,8.0,8.0,8.0,8.0,0
2015-09-21,8.0,8.0,8.0,8.0,8.0,0
2015-09-22,8.0,8.0,8.0,8.0,8.0,0
2015-09-23,8.0,8.0,8.0,8.0,8.0,0
2015-09-24,8.0,8.0,8.0,8.0,8.0,0
2015-09-25,8.0,8.0,8.0,8.0,8.0,0
2015-09-28,8.0,8.0,8.0,8.0,8.0,0
2015-09-29,8.0,8.0,8.0,8.0,8.0,0
2015-09-30,8.0,8.0,8.0,8.0,8.0,0
2015-10-01,8.0,8.0,8.0,8.0,8.0,0
2015-10-02,8.0,8.0,8.0,8.0,8.0,0
2015-10-05,8.0,8.0,8.0,8.0,8.0,0
2015-10-06,8.0,8.0,8.0,8.0,8.0,0
2015-10-07,8.0,8.0,8.0,8.0,8.0,0
2015-10-08,8.0,8.0,8.0,8.0,8.0,0
2015-10-09,8.0,8.0,8.0,8.0,8.0,0
2015-10-12,8.0,8.0,8.0,8.0,8.0,0
2015-10-13,8.0,8.0,8.0,8.0,8.0,0
2015-10-14,8.0,8.0,8.0,8.0,8.0,0
2015-10-15,8.0,8.0,8.0,8.0,8.0,0
2015-10-16,8.0,8.0,8.0,8.0,8.0,0
2015-10-19,8.0,8.0,8.0,8.0,8.0,0
2015-10-20,8.0,8.0,8.0,8.0,8.0,0
2015-10-21,8.0,8.0,8.0,8.0,8.0,0
2015-10-22,8.0,8.0,8.0,8.0,8.0,0
2015-10-23,8.0,8.0,8.0,8.0,8.0,0
2015-10-26,8.0,8.0,8.0,8.0,8.0,0
2015-10-27,8.0,8.0,8.0,8.0,8.0,0
2015-10-28,8.0,8.0,8.0,8.0,8.0,0
2015-10-29,8.0,8.0,8.0,8.0,8.0,0
2015-10-30,8.0,8.0,8.0,8.0,8.0,0
2015-11-02,8.0,8.0,8.0,8.0,8.0,0
2015-11-03,8.0,8.0,8.0,8.0,8.0,0
2015-11-04,8.0,8.0,8.0,8.0,8.0,0
2015-11-05,8.0,8.0,8.0,8.0,8.0,0
2015-11-06,8.0,8.0,8.0,8.0,8.0,0
2015-11-09,8.0,8.0,8.0,8.0,8.0,0
2015-11-10,8.0,8.0,8.0,8.0,8.0,0
2015-11-11,8.0,8.0,8.0,8.0,8.0,0
2015-11-12,8.0,8.0,8.0,8.0,8.0,0
2015-11-13,8.0,8.0,8.0,8.0,8.0,0
2015-11-16,8.0,8.0,8.0,8.0,8.0,0
2015-11-17,8.0,8.0,8.0,8.0,8.0,0
2015-11-18,8.0,8.0,8.0,8.0,8.0,0
2015-11-19,8.0,8.0,8.0,8.0,8.0,0
2015-11-20,8.0,8.0,8.0,8.0,8.0,0
2015-11-23,8.0,8.0,8.0,8.0,8.0,0
2015-11-24,8.0,8.0,8.0,8.0,8.0,0
2015-11-25,8.0,8.0,8.0,8.0,8.0,0
2015-11-27,8.0,8.0,8.0,8.0,8.0,0
2015-11-30,8.0,8.0,8.0,8.0,8.0,0
2015-12-01,8.0,8.0,8.0,8.0,8.0,0
2015-12-02,8.0,8.0,8.0,8.0,8.0,0
2015-12-03,8.0,8.0,8.0,8.0,8.0,0
