Date,Open,High,Low,Close,Adj Close,Volume
2015-08-03,160.5,168.75,158.25,164.0,164.0,22040
2015-08-04,163.5,174.75,162.0,172.25,172.25,16416
2015-08-05,170.75,175.0,157.5,159.25,159.25,17596
2015-08-06,159.25,159.25,142.5,146.0,146.0,16320
2015-08-07,145.0,145.0,137.25,139.25,139.25,7440
2015-08-10,140.25,147.5,140.0,145.25,145.25,8712
2015-08-11,143.75,150.0,142.0,148.0,148.0,6456
2015-08-12,145.25,148.75,137.75,144.25,144.25,10392
2015-08-13,142.5,145.5,139.25,140.75,140.75,4984
2015-08-14,139.0,144.0,130.25,133.75,133.75,9704
2015-08-17,134.0,137.75,128.5,135.25,135.25,5504
2015-08-18,135.75,137.25,130.25,131.0,131.0,6356
2015-08-19,129.75,136.75,127.75,134.75,134.75,11752
2015-08-20,134.75,134.75,122.25,125.25,125.25,12792
2015-08-21,121.25,126.5,117.5,120.75,120.75,7564
2015-08-24,106.75,109.5,100.75,107.75,107.75,11740
2015-08-25,112.0,115.25,108.0,110.0,110.0,6088
2015-08-26,112.5,115.25,110.0,114.5,114.5,6588
2015-08-27,114.75,121.25,114.5,117.5,117.5,4668
2015-08-28,117.0,121.0,117.0,120.5,120.5,3232
2015-08-31,118.75,124.0,115.75,116.75,116.75,7668
2015-09-01,115.25,121.25,113.5,116.0,116.0,5820
2015-09-02,120.75,122.0,117.0,120.5,120.5,4328
2015-09-03,121.5,121.75,113.75,115.0,115.0,2932
2015-09-04,112.25,120.25,112.0,119.0,119.0,1972
2015-09-08,122.25,122.25,116.5,118.25,118.25,2936
2015-09-09,120.5,127.75,118.5,125.5,125.5,5988
2015-09-10,125.75,138.0,124.75,132.75,132.75,4552
2015-09-11,133.0,140.0,132.0,137.0,137.0,5280
2015-09-14,134.75,137.5,127.5,129.0,129.0,6144
2015-09-15,131.0,132.5,126.75,129.75,129.75,3012
2015-09-16,129.25,131.25,120.5,124.75,124.75,8048
2015-09-17,124.0,130.75,121.25,129.5,129.5,3228
2015-09-18,127.25,135.75,124.5,131.5,131.5,8644
2015-09-21,134.25,134.25,126.75,129.0,129.0,3892
2015-09-22,124.0,128.5,119.5,121.0,121.0,7016
2015-09-23,120.25,126.25,120.0,122.0,122.0,5140
2015-09-24,120.0,128.5,118.75,123.25,123.25,5044
2015-09-25,126.0,126.75,110.25,114.5,114.5,7748
2015-09-28,114.75,114.75,102.5,105.5,105.5,7392
2015-09-29,104.0,109.5,93.25,99.5,99.5,8772
2015-09-30,101.0,108.0,96.25,101.25,101.25,4632
2015-10-01,100.75,105.5,95.5,103.5,103.5,4468
2015-10-02,101.0,109.5,98.75,107.75,107.75,6116
2015-10-05,108.75,109.75,100.25,106.25,106.25,3984
2015-10-06,106.25,106.25,97.5,100.5,100.5,6100
2015-10-07,100.5,104.75,98.5,103.75,103.75,5024
2015-10-08,102.75,108.0,100.0,105.5,105.5,6532
2015-10-09,105.0,115.0,102.5,111.0,111.0,8180
2015-10-12,115.25,115.25,103.75,105.5,105.5,4580
2015-10-13,104.5,106.75,98.75,99.25,99.25,4676
