Date,Open,High,Low,Close,Adj Close,Volume
2016-03-23,3.5,3.5,3.5,3.5,3.5,20
2016-03-24,3.5,3.5,3.5,3.5,3.5,0
2016-03-28,3.5,3.5,3.5,3.5,3.5,0
2016-03-29,3.5,3.5,3.5,3.5,3.5,0
2016-03-30,3.5,3.5,3.5,3.5,3.5,0
2016-03-31,3.5,3.5,3.5,3.5,3.5,0
2016-04-01,3.5,3.5,3.5,3.5,3.5,0
2016-04-04,3.5,3.5,3.5,3.5,3.5,0
2016-04-05,3.5,3.5,3.5,3.5,3.5,0
2016-04-06,3.5,3.5,3.5,3.5,3.5,0
2016-04-07,3.5,3.5,3.5,3.5,3.5,0
2016-04-08,3.5,3.5,3.5,3.5,3.5,0
2016-04-11,3.5,3.5,3.5,3.5,3.5,0
2016-04-12,3.5,3.5,3.5,3.5,3.5,0
2016-04-13,3.5,3.5,3.5,3.5,3.5,0
2016-04-14,3.5,3.5,3.5,3.5,3.5,0
2016-04-15,3.5,3.5,3.5,3.5,3.5,0
2016-04-18,3.5,3.5,3.5,3.5,3.5,0
2016-04-19,3.5,3.5,3.5,3.5,3.5,0
2016-04-20,3.5,3.5,3.5,3.5,3.5,0
2016-04-21,3.5,3.5,3.5,3.5,3.5,0
2016-04-22,3.5,3.5,3.5,3.5,3.5,0
2016-04-25,3.5,3.5,3.5,3.5,3.5,0
2016-04-26,3.5,3.5,3.5,3.5,3.5,0
2016-04-27,3.5,3.5,3.5,3.5,3.5,0
2016-04-28,3.5,3.5,3.5,3.5,3.5,0
2016-04-29,3.5,3.5,3.5,3.5,3.5,0
2016-05-02,3.5,3.5,3.5,3.5,3.5,0
2016-05-03,3.5,3.5,3.5,3.5,3.5,0
2016-05-04,3.5,3.5,3.5,3.5,3.5,0
2016-05-05,3.5,3.5,3.5,3.5,3.5,0
2016-05-06,3.5,3.5,3.5,3.5,3.5,0
2016-05-09,3.5,3.5,3.5,3.5,3.5,0
2016-05-10,3.5,3.5,3.5,3.5,3.5,0
2016-05-11,3.5,3.5,3.5,3.5,3.5,0
2016-05-12,3.5,3.5,3.5,3.5,3.5,0
2016-05-13,3.5,3.5,3.5,3.5,3.5,0
2016-05-16,3.5,3.5,3.5,3.5,3.5,0
2016-05-17,3.5,3.5,3.5,3.5,3.5,0
2016-05-18,3.5,3.5,3.5,3.5,3.5,0
2016-05-19,3.5,3.5,3.5,3.5,3.5,0
2016-05-20,3.5,3.5,3.5,3.5,3.5,0
2016-05-23,3.5,3.5,3.5,3.5,3.5,0
2016-05-24,3.5,3.5,3.5,3.5,3.5,0
2016-05-25,3.5,3.5,3.5,3.5,3.5,0
2016-05-26,3.5,3.5,3.5,3.5,3.5,0
2016-05-27,3.5,3.5,3.5,3.5,3.5,0
2016-05-31,3.5,3.5,3.5,3.5,3.5,0
2016-06-01,3.5,3.5,3.5,3.5,3.5,0
2016-06-02,3.5,3.5,3.5,3.5,3.5,0
2016-06-03,3.5,3.5,3.5,3.5,3.5,0
2016-06-06,3.5,3.5,3.5,3.5,3.5,0
2016-06-07,3.5,3.5,3.5,3.5,3.5,0
2016-06-08,3.5,3.5,3.5,3.5,3.5,0
2016-06-09,3.5,3.5,3.5,3.5,3.5,0
2016-06-10,3.5,3.5,3.5,3.5,3.5,0
2016-06-13,3.5,3.5,3.5,3.5,3.5,0
2016-06-14,3.5,3.5,3.5,3.5,3.5,0
2016-06-15,3.5,3.5,3.5,3.5,3.5,0
2016-06-16,3.5,3.5,3.5,3.5,3.5,0
2016-06-17,3.5,3.5,3.5,3.5,3.5,0
2016-06-20,3.5,3.5,3.5,3.5,3.5,0
2016-06-21,3.5,3.5,3.5,3.5,3.5,0
2016-06-22,3.5,3.5,3.5,3.5,3.5,0
2016-06-23,3.5,3.5,3.5,3.5,3.5,0
2016-06-24,3.5,3.5,3.5,3.5,3.5,0
2016-06-27,3.5,3.5,3.5,3.5,3.5,0
2016-06-28,3.5,3.5,3.5,3.5,3.5,0
2016-06-29,3.5,3.5,3.5,3.5,3.5,0
2016-06-30,3.5,3.5,3.5,3.5,3.5,0
2016-07-01,3.5,3.5,3.5,3.5,3.5,0
2016-07-05,3.5,3.5,3.5,3.5,3.5,0
2016-07-06,3.5,3.5,3.5,3.5,3.5,0
2016-07-07,3.5,3.5,3.5,3.5,3.5,0
2016-07-08,3.5,3.5,3.5,3.5,3.5,0
2016-07-11,3.5,3.5,3.5,3.5,3.5,0
2016-07-12,3.5,3.5,3.5,3.5,3.5,0
2016-07-13,3.5,3.5,3.5,3.5,3.5,0
2016-07-14,3.5,3.5,3.5,3.5,3.5,0
2016-07-15,3.5,3.5,3.5,3.5,3.5,0
2016-07-18,3.5,3.5,3.5,3.5,3.5,0
2016-07-19,3.5,3.5,3.5,3.5,3.5,0
2016-07-20,3.5,3.5,3.5,3.5,3.5,0
2016-07-21,3.5,3.5,3.5,3.5,3.5,0
2016-07-22,3.5,3.5,3.5,3.5,3.5,0
2016-07-25,3.5,3.5,3.5,3.5,3.5,0
2016-07-26,3.5,3.5,3.5,3.5,3.5,0
2016-07-27,3.5,3.5,3.5,3.5,3.5,0
2016-07-28,3.5,3.5,3.5,3.5,3.5,0
2016-07-29,3.5,3.5,3.5,3.5,3.5,0
2016-08-01,3.5,3.5,3.5,3.5,3.5,0
2016-08-02,3.5,3.5,3.5,3.5,3.5,0
2016-08-03,3.5,3.5,3.5,3.5,3.5,0
2016-08-04,3.5,3.5,3.5,3.5,3.5,0
2016-08-05,3.5,3.5,3.5,3.5,3.5,0
2016-08-08,3.5,3.5,3.5,3.5,3.5,0
2016-08-09,3.5,3.5,3.5,3.5,3.5,0
2016-08-10,3.5,3.5,3.5,3.5,3.5,0
2016-08-11,3.5,3.5,3.5,3.5,3.5,0
2016-08-12,3.5,3.5,3.5,3.5,3.5,0
2016-08-15,3.5,3.5,3.5,3.5,3.5,0
2016-08-16,3.5,3.5,3.5,3.5,3.5,0
2016-08-17,3.5,3.5,3.5,3.5,3.5,0
2016-08-18,3.5,3.5,3.5,3.5,3.5,0
2016-08-19,3.5,3.5,3.5,3.5,3.5,0
2016-08-22,3.5,3.5,3.5,3.5,3.5,0
2016-08-23,3.5,3.5,3.5,3.5,3.5,0
2016-08-24,3.5,3.5,3.5,3.5,3.5,0
2016-08-25,3.5,3.5,3.5,3.5,3.5,0
2016-08-26,3.5,3.5,3.5,3.5,3.5,0
2016-08-29,3.5,3.5,3.5,3.5,3.5,0
2016-08-30,3.5,3.5,3.5,3.5,3.5,0
2016-08-31,3.5,3.5,3.5,3.5,3.5,0
2016-09-01,3.5,3.5,3.5,3.5,3.5,0
2016-09-02,3.5,3.5,3.5,3.5,3.5,0
2016-09-06,3.5,3.5,3.5,3.5,3.5,0
2016-09-07,3.5,3.5,3.5,3.5,3.5,0
2016-09-08,3.5,3.5,3.5,3.5,3.5,0
2016-09-09,3.5,3.5,3.5,3.5,3.5,0
2016-09-12,3.5,3.5,3.5,3.5,3.5,0
2016-09-13,3.5,3.5,3.5,3.5,3.5,0
2016-09-14,3.5,3.5,3.5,3.5,3.5,0
2016-09-15,3.5,3.5,3.5,3.5,3.5,0
2016-09-16,3.5,3.5,3.5,3.5,3.5,0
2016-09-19,3.5,3.5,3.5,3.5,3.5,0
2016-09-20,3.5,3.5,3.5,3.5,3.5,0
2016-09-21,3.5,3.5,3.5,3.5,3.5,0
2016-09-22,3.5,3.5,3.5,3.5,3.5,0
2016-09-23,3.5,3.5,3.5,3.5,3.5,0
2016-09-26,3.5,3.5,3.5,3.5,3.5,0
2016-09-27,3.5,3.5,3.5,3.5,3.5,0
2016-09-28,3.5,3.5,3.5,3.5,3.5,0
2016-09-29,3.5,3.5,3.5,3.5,3.5,0
2016-09-30,3.5,3.5,3.5,3.5,3.5,0
2016-10-03,3.5,3.5,3.5,3.5,3.5,0
2016-10-04,3.5,3.5,3.5,3.5,3.5,0
2016-10-05,3.5,3.5,3.5,3.5,3.5,0
2016-10-06,3.5,3.5,3.5,3.5,3.5,0
2016-10-07,3.5,3.5,3.5,3.5,3.5,0
2016-10-10,3.5,3.5,3.5,3.5,3.5,0
2016-10-11,3.5,3.5,3.5,3.5,3.5,0
2016-10-12,3.5,3.5,3.5,3.5,3.5,0
2016-10-13,3.5,3.5,3.5,3.5,3.5,0
2016-10-14,3.5,3.5,3.5,3.5,3.5,0
2016-10-17,3.5,3.5,3.5,3.5,3.5,0
2016-10-18,3.5,3.5,3.5,3.5,3.5,0
2016-10-19,3.5,3.5,3.5,3.5,3.5,0
2016-10-20,3.5,3.5,3.5,3.5,3.5,0
2016-10-21,3.5,3.5,3.5,3.5,3.5,0
2016-10-24,3.5,3.5,3.5,3.5,3.5,0
2016-10-25,3.5,3.5,3.5,3.5,3.5,0
2016-10-26,3.5,3.5,3.5,3.5,3.5,0
2016-10-27,3.5,3.5,3.5,3.5,3.5,0
2016-10-28,3.5,3.5,3.5,3.5,3.5,0
2016-10-31,3.5,3.5,3.5,3.5,3.5,0
2016-11-01,3.5,3.5,3.5,3.5,3.5,0
2016-11-02,3.5,3.5,3.5,3.5,3.5,0
2016-11-03,3.5,3.5,3.5,3.5,3.5,0
2016-11-04,3.5,3.5,3.5,3.5,3.5,0
2016-11-07,3.5,3.5,3.5,3.5,3.5,0
2016-11-08,3.5,3.5,3.5,3.5,3.5,0
2016-11-09,3.5,3.5,3.5,3.5,3.5,0
2016-11-10,3.5,3.5,3.5,3.5,3.5,0
2016-11-11,3.5,3.5,3.5,3.5,3.5,0
2016-11-14,3.5,3.5,3.5,3.5,3.5,0
2016-11-15,3.5,3.5,3.5,3.5,3.5,0
2016-11-16,3.5,3.5,3.5,3.5,3.5,0
2016-11-17,3.5,3.5,3.5,3.5,3.5,0
2016-11-18,3.5,3.5,3.5,3.5,3.5,0
2016-11-21,100.0,100.0,100.0,100.0,100.0,2
2016-11-22,100.0,100.0,100.0,100.0,100.0,0
2016-11-23,500.0,500.0,500.0,500.0,500.0,2
2016-11-25,500.0,500.0,500.0,500.0,500.0,0
2016-11-28,500.0,500.0,500.0,500.0,500.0,0
2016-11-29,500.0,500.0,500.0,500.0,500.0,0
2016-11-30,500.0,500.0,500.0,500.0,500.0,0
2016-12-01,500.0,500.0,500.0,500.0,500.0,0
2016-12-02,995.0,995.0,995.0,995.0,995.0,2
2016-12-05,995.0,995.0,995.0,995.0,995.0,0
2016-12-06,995.0,995.0,995.0,995.0,995.0,0
2016-12-07,995.0,995.0,995.0,995.0,995.0,0
2016-12-08,995.0,995.0,995.0,995.0,995.0,0
2016-12-09,995.0,995.0,995.0,995.0,995.0,0
2016-12-12,995.0,995.0,995.0,995.0,995.0,0
2016-12-13,995.0,995.0,995.0,995.0,995.0,0
2016-12-14,995.0,995.0,995.0,995.0,995.0,0
2016-12-15,995.0,995.0,995.0,995.0,995.0,0
2016-12-16,995.0,995.0,995.0,995.0,995.0,0
2016-12-19,995.0,995.0,995.0,995.0,995.0,0
2016-12-20,995.0,995.0,995.0,995.0,995.0,0
2016-12-21,995.0,995.0,995.0,995.0,995.0,0
2016-12-22,995.0,995.0,995.0,995.0,995.0,0
2016-12-23,995.0,995.0,995.0,995.0,995.0,0
2016-12-27,995.0,995.0,995.0,995.0,995.0,0
2016-12-28,995.0,995.0,995.0,995.0,995.0,0
2016-12-29,995.0,995.0,995.0,995.0,995.0,0
2016-12-30,995.0,995.0,995.0,995.0,995.0,0
2017-01-03,995.0,995.0,995.0,995.0,995.0,0
2017-01-04,995.0,995.0,995.0,995.0,995.0,0
2017-01-05,995.0,995.0,995.0,995.0,995.0,0
2017-01-06,995.0,995.0,995.0,995.0,995.0,0
2017-01-09,995.0,995.0,995.0,995.0,995.0,0
2017-01-10,995.0,995.0,995.0,995.0,995.0,0
2017-01-11,995.0,995.0,995.0,995.0,995.0,0
2017-01-12,995.0,995.0,995.0,995.0,995.0,0
2017-01-13,1500.0,1500.0,1500.0,1500.0,1500.0,2
2017-01-17,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-01-18,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-01-19,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-01-20,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-01-23,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-01-24,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-01-25,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-01-26,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-01-27,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-01-30,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-01-31,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-02-01,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-02-02,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-02-03,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-02-06,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-02-07,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-02-08,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-02-09,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-02-10,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-02-13,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-02-14,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-02-15,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-02-16,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-02-17,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-02-21,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-02-22,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-02-23,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-02-24,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-02-27,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-02-28,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-03-01,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-03-02,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-03-03,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-03-06,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-03-07,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-03-08,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-03-09,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-03-10,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-03-13,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-03-14,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-03-15,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-03-16,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-03-17,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-03-20,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-03-21,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-03-22,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-03-23,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-03-24,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-03-27,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-03-28,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-03-29,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-03-30,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-03-31,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-04-03,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-04-04,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-04-05,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-04-06,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-04-07,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-04-10,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-04-11,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-04-12,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-04-13,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-04-17,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-04-18,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-04-19,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-04-20,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-04-21,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-04-24,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-04-25,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-04-26,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-04-27,1500.0,1500.0,1500.0,1500.0,1500.0,0
2017-04-28,950.0,950.0,950.0,950.0,950.0,2
2017-05-01,1000.0,1000.0,1000.0,1000.0,1000.0,2
2017-05-02,1000.0,1000.0,1000.0,1000.0,1000.0,0
2017-05-03,1000.0,1000.0,1000.0,1000.0,1000.0,0
2017-05-04,1000.0,1000.0,1000.0,1000.0,1000.0,0
2017-05-05,1000.0,1000.0,1000.0,1000.0,1000.0,0
2017-05-08,1000.0,1000.0,1000.0,1000.0,1000.0,0
